_changetype,_CUSTOMER1_FISCHER_ROLES_ALUM_VIEW.BANNER_ID,_CUSTOMER1_FISCHER_ROLES_ALUM_VIEW.ROLE
add,A00000001,ALUM
add,A00000002,ALUM
add,A00000008,ALUM
add,A00000009,ALUM
add,A00000010,ALUM
add,A00000011,ALUM
add,A00000012,ALUM
add,A00000013,ALUM
add,A00000027,ALUM
add,A00000032,ALUM
add,A00000038,ALUM
add,A00000040,ALUM
add,A00000042,ALUM
add,A00000044,ALUM
add,A00000046,ALUM
add,A00000047,ALUM
add,A00000048,ALUM
add,A00000049,ALUM
add,A00000050,ALUM
add,A00000051,ALUM
add,A00000052,ALUM
add,A00000054,ALUM
add,A00000055,ALUM
add,A00000062,ALUM
add,A00000066,ALUM
add,A00000067,ALUM
add,A00000070,ALUM
add,A00000073,ALUM
add,A00000077,ALUM
add,A00000078,ALUM
add,A00000081,ALUM
add,A00000082,ALUM
add,A00000087,ALUM
add,A00000088,ALUM
add,A00000089,ALUM
add,A00000090,ALUM
add,A00000092,ALUM
add,A00000096,ALUM
add,A00000098,ALUM
add,A00000099,ALUM
add,A00000102,ALUM
add,A00000108,ALUM
add,A00000111,ALUM
add,A00000113,ALUM
add,A00000114,ALUM
add,A00000115,ALUM
add,A00000124,ALUM
add,A00000125,ALUM
add,A00000126,ALUM
add,A00000127,ALUM
add,A00000129,ALUM
add,A00000134,ALUM
add,A00000135,ALUM
add,A00000145,ALUM
add,A00000146,ALUM
add,A00000150,ALUM
add,A00000154,ALUM
add,A00000155,ALUM
add,A00000156,ALUM
add,A00000161,ALUM
add,A00000163,ALUM
add,A00000167,ALUM
add,A00000170,ALUM
add,A00000173,ALUM
add,A00000176,ALUM
add,A00000177,ALUM
add,A00000178,ALUM
add,A00000182,ALUM
add,A00000192,ALUM
add,A00000199,ALUM
add,A00000210,ALUM
add,A00000220,ALUM
add,A00000221,ALUM
add,A00000223,ALUM
add,A00000226,ALUM
add,A00000227,ALUM
add,A00000230,ALUM
add,A00000233,ALUM
add,A00000234,ALUM
add,A00000235,ALUM
add,A00000239,ALUM
add,A00000242,ALUM
add,A00000243,ALUM
add,A00000244,ALUM
add,A00000245,ALUM
add,A00000246,ALUM
add,A00000253,ALUM
add,A00000255,ALUM
add,A00000260,ALUM
add,A00000266,ALUM
add,A00000269,ALUM
add,A00000275,ALUM
add,A00000279,ALUM
add,A00000280,ALUM
add,A00000283,ALUM
add,A00000284,ALUM
add,A00000287,ALUM
add,A00000293,ALUM
add,A00000294,ALUM
add,A00000296,ALUM
add,A00000303,ALUM
add,A00000309,ALUM
add,A00000310,ALUM
add,A00000311,ALUM
add,A00000313,ALUM
add,A00000323,ALUM
add,A00000325,ALUM
add,A00000326,ALUM
add,A00000327,ALUM
add,A00000328,ALUM
add,A00000330,ALUM
add,A00000333,ALUM
add,A00000343,ALUM
add,A00000344,ALUM
add,A00000354,ALUM
add,A00000368,ALUM
add,A00000370,ALUM
add,A00000371,ALUM
add,A00000379,ALUM
add,A00000390,ALUM
add,A00000391,ALUM
add,A00000394,ALUM
add,A00000395,ALUM
add,A00000398,ALUM
add,A00000402,ALUM
add,A00000411,ALUM
add,A00000413,ALUM
add,A00000421,ALUM
add,A00000423,ALUM
add,A00000440,ALUM
