BANNER_ID,_CUSTOMER1_FISCHER_GROUPS_BY_USER.GROUP_EMAIL,_CUSTOMER1_FISCHER_ROLES_ALUM_VIEW.ROLE
B00152284,null,ALUM
B00237734,null,ALUM
A00085617,null,ALUM
A00086942,null,ALUM
B00466745,null,ALUM
B00225744,null,ALUM
A00072308,null,ALUM
B00427139,null,ALUM
B00427157,null,ALUM
B00236411,null,ALUM
B00428487,null,ALUM
A00011380,null,ALUM
B00008705,null,ALUM
B00428483,null,ALUM
B00873186,"depts-nsm-staff,depts-phe-staff,bannerusers,depts-bio-staff,depts-nsm-staff,depts-phe-staff,bannerusers,depts-bio-staff",ALUM
A00011382,null,ALUM
B00717629,depts-educ-staff,ALUM
A00034043,null,ALUM
B00393299,null,ALUM
B00717627,null,ALUM
A00086953,null,ALUM
B00250710,null,ALUM
A00009067,null,ALUM
A00062961,null,ALUM
A00288362,null,ALUM
B00403199,null,ALUM
B00453413,null,ALUM
A00048697,null,ALUM
B00212452,null,ALUM
B00427167,null,ALUM
B00619192,"depts-fa-fac,depts-mus-fac,depts-fa-fac,depts-mus-fac",ALUM
B00191860,"depts-nsm-fac,depts-psyc-fac,depts-nsm-fac,depts-psyc-fac",null
A00012695,null,ALUM
B00225767,null,ALUM
A00022074,null,ALUM
B00176243,null,ALUM
B00442791,null,ALUM
B00008727,null,ALUM
B00189560,null,ALUM
B00176249,null,ALUM
B00200479,"bannerusers,depts-cf-staff,bannerusers,depts-cf-staff",null
B00466731,null,ALUM
B00200473,null,ALUM
B00176250,null,ALUM
B00212450,null,ALUM
B00403138,null,ALUM
B00212474,null,ALUM
B00235118,null,ALUM
A00468395,null,ALUM
A00468396,null,ALUM
A00481364,null,ALUM
B00189522,null,ALUM
B00141589,null,ALUM
B00873148,null,ALUM
B00874478,null,ALUM
A00455080,null,ALUM
B00873145,null,ALUM
B00139270,null,ALUM
A00024671,null,ALUM
B00466707,null,ALUM
A00479057,null,ALUM
B00429778,null,ALUM
A00481358,null,ALUM
B00236455,null,ALUM
A00022010,null,ALUM
B00429771,null,ALUM
A00227383,null,ALUM
A00062924,null,ALUM
B00154893,null,ALUM
B00792905,null,ALUM
A00010091,null,ALUM
A00275058,null,ALUM
B00166872,null,ALUM
B00274700,null,ALUM
B00792900,null,ALUM
A00398809,null,ALUM
B00212472,null,ALUM
B00237794,null,ALUM
B00189536,null,ALUM
B00403157,null,ALUM
B00427106,null,ALUM
B00236422,null,ALUM
A00398817,null,ALUM
A00467080,null,ALUM
B00885115,null,ALUM
B00250726,"depts-nsm-fac,depts-chph-fac,depts-nsm-fac,depts-chph-fac",null
B00165577,null,ALUM
B00189502,null,ALUM
B00717620,null,ALUM
B00403163,null,ALUM
B00235100,null,ALUM
B00427117,null,ALUM
A00049974,null,ALUM
A00023369,null,ALUM
B00874497,null,ALUM
A00010074,null,ALUM
B00223142,null,ALUM
B00191835,null,ALUM
B00619145,null,ALUM
A00010070,null,ALUM
B00249752,null,ALUM
B00153587,null,ALUM
B00717612,null,ALUM
B00403170,null,ALUM
B00441417,null,ALUM
B00236442,null,ALUM
B00427128,null,ALUM
A00000654,null,ALUM
A00000653,null,ALUM
A00000651,null,ALUM
B00154860,null,ALUM
B00836160,null,ALUM
A00000657,null,ALUM
B00489473,null,ALUM
B00489472,"depts-mcs-fac,depts-nsm-fac,depts-mcs-fac,depts-nsm-fac",null
B00489468,"bannerusers,depts-aper-staff,bannerusers,depts-aper-staff",null
B00383877,null,ALUM
B00489466,"depts-mcs-fac,depts-nsm-fac,depts-mcs-fac,depts-nsm-fac",null
B00491787,depts-tac-staff,null
B00489465,depts-aper-staff,null
B00140216,null,ALUM
B00382549,null,ALUM
B00139230,null,ALUM
B00491786,depts-tac-staff,null
B00382548,null,ALUM
B00382547,null,ALUM
B00491784,"depts-fa-staff,depts-dnc-staff,depts-fa-staff,depts-dnc-staff",null
B00334905,null,ALUM
B00334902,null,ALUM
A00291924,null,ALUM
A00001970,null,ALUM
A00023300,null,ALUM
A00049910,null,ALUM
B00356270,null,ALUM
B00191815,null,ALUM
A00049914,null,ALUM
A00000646,null,ALUM
A00001977,null,ALUM
B00140223,null,ALUM
B00139246,null,ALUM
B00382532,null,ALUM
